"REFERENCE","LOCATION","APP TYPE","APP TYPE DECODE","VALIDATION DATE","PROPOSAL","RECOMMENDATION","RECOMMENDATION DECODE","DECISION DATE","DEVELOPMENT TYPE","DEVELOPMENT TYPE DECODE","WARD","WARD DECODE","NORTHING","EASTING","KEY VALUE"
"12/61973/ADV","522 Liverpool Road Eccles M30 7JA","ADV","Advert Application",28/6/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",6/8/2012 00:00:00,"Q18","Minor Others","WI","Winton","397991","375760","M6BFHCNP5Y000"
"12/61976/ADV","Irlam News & Wine  675 Liverpool Road Irlam M44 5GQ","ADV","Advert Application",28/6/2012 00:00:00,"Display of externally illuminated fascia sign","PER","Approve",6/8/2012 00:00:00,"Q18","Minor Others","CD","Cadishead","392907","371357","M6BFHQNP5Y000"
"12/61987/ADV","Pao Sing Food Centre  677 Liverpool Road Irlam M44 5GQ","ADV","Advert Application",30/6/2012 00:00:00,"Display of an externally illuminated fascia sign","PER","Approve",6/8/2012 00:00:00,"Q22","Advertisements","CD","Cadishead","392904","371355","M6F4TBNP5Y000"
"12/61790/ADV","N G Bailey & Co Ltd  321 Ordsall Lane Salford M5 3HP","ADV","Advert Application",30/6/2012 00:00:00,"Display of one non illuminated fascia sign","PER","Approve",30/7/2012 00:00:00,"Q22","Advertisements","OR","Ordsall","397014","381840","M49CT9NP5Y000"
"12/62008/ADV","2 Bloom Street Salford M3 6DF ","ADV","Advert Application",2/7/2012 00:00:00,"Display of externally illuminated fascia sign","PER","Approve",6/8/2012 00:00:00,"Q22","Advertisements","OR","Ordsall","398599","383164","M6L29QNP06H00"
"12/61990/ADV","Rogers Chippy  546 Liverpool Road Eccles M30 7JA","ADV","Advert Application",2/7/2012 00:00:00,"Display of externally illuminated fascia sign","PER","Approve",6/8/2012 00:00:00,"Q22","Advertisements","WI","Winton","397950","375725","M6F4TLNP5Y000"
"12/61996/ADV","548 Liverpool Road Eccles M30 7JA","ADV","Advert Application",3/7/2012 00:00:00,"Display of externally illuminated fascia sign","PER","Approve",6/8/2012 00:00:00,"Q22","Advertisements","WI","Winton","397948","375722","M6KOTINP5Y000"
"12/61998/ADV","524 Liverpool Road Eccles M30 7JA","ADV","Advert Application",3/7/2012 00:00:00,"Display of externally illuminated fascia sign","PER","Approve",13/8/2012 00:00:00,"Q22","Advertisements","WI","Winton","397986","375759","M6KOTUNP5Y000"
"12/62002/ADV","561-563 Liverpool Road Irlam M44 5BE ","ADV","Advert Application",3/7/2012 00:00:00,"Display of externally illuminated fascia sign","PER","Approve",13/8/2012 00:00:00,"Q22","Advertisements","CD","Cadishead","393560","371671","M6KOUINP5Y000"
"12/62013/ADV","58 Chorley Road Swinton M27 5AD","ADV","Advert Application",4/7/2012 00:00:00,"Display of non illuminated fascia sign","PER","Approve",13/8/2012 00:00:00,"Q22","Advertisements","SS","Swinton South","401468","377880","M6MJJENP5Y000"
"12/61980/ADV","Employment Law Advisory Services Ltd Charles House Albert Street Eccles Manchester M30 0LJ ","ADV","Advert Application",4/7/2012 00:00:00,"Display of two internally illuminated signs","PER","Approve",13/8/2012 00:00:00,"Q22","Advertisements","EC","Eccles","398686","377711","M6DA5BNP5Y000"
"12/62020/ADV","Former Radclyffe Community Primary School Phoebe Street Salford M5 3PH ","ADV","Advert Application",4/7/2012 00:00:00,"Display of ten non illuminated fascia signs","PER","Approve",6/8/2012 00:00:00,"Q22","Advertisements","OR","Ordsall","397440","381507","M6N4EZNP06H00"
"12/62006/ADV","Adamson House 2 Centenary Way Salford M5 3DL ","ADV","Advert Application",9/7/2012 00:00:00,"Display of one externally illuminated fascia sign


","PER","Approve",6/8/2012 00:00:00,"Q22","Advertisements","OR","Ordsall","396961","381404","M6L06KNP00B00"
"12/62034/ADV","6 Standfield Centre Worsley M28 1FB","ADV","Advert Application",10/7/2012 00:00:00,"Display of three internally illuminated fascia signs and four non-illuminated other signs","PER","Approve",15/8/2012 00:00:00,"Q22","Advertisements","BE","Boothstown And Ellenbrook","400801","372485","M6S3HNNP5Y000"
"12/62035/ADV","Tesco Stores Ltd  Woodrow Way Irlam M44 6BL","ADV","Advert Application",11/7/2012 00:00:00,"Display of three non illuminated signs","PER","Approve",15/8/2012 00:00:00,"Q22","Advertisements","CD","Cadishead","393527","371981","M6S3HWNP5Y000"
"12/62041/ADV","Land Adjacent To 148 Church Street And Corner Of  Shuttle Street Eccles M30 0EW","ADV","Advert Application",18/7/2012 00:00:00,"Display of one externally illuminated hoarding advertisement","PER","Approve",7/9/2012 00:00:00,"Q22","Advertisements","EC","Eccles","398564","377600","M6XNH9NP5Y000"
"12/62044/ADV","14 Ellenbrook Road Worsley M28 1FZ ","ADV","Advert Application",20/7/2012 00:00:00,"Display of two fascia signs, two projecting signs, 2 poster boards and the retention of 6 poster boards","PER","Approve",14/9/2012 00:00:00,"Q22","Advertisements","BE","Boothstown And Ellenbrook","400826","372807","M6Y69ANP06H00"
"12/62049/ADV","14 Ellenbrook Road Worsley M28 1FZ ","ADV","Advert Application",20/7/2012 00:00:00,"Display of one freestanding non illuminated totem signage","PER","Approve",7/9/2012 00:00:00,"Q22","Advertisements","BE","Boothstown And Ellenbrook","400826","372807","M6ZWECNP06H00"
"12/62070/ADV","151 - 153 Eccles New Road Salford M5 4QQ ","ADV","Advert Application",26/7/2012 00:00:00,"Display of one internally illuminated ATM sign","PER","Approve",19/9/2012 00:00:00,"Q22","Advertisements","OR","Ordsall","398146","380899","M7CGT4NP5Y000"
"12/62102/ADV","Corner Of Chapel Street And Blackfriars Street  Salford M3 7AA ","ADV","Advert Application",27/7/2012 00:00:00,"Retention of one externally illuminated hoarding sign and two internally illuminated hoarding signs (re-sub of 11/60805/ADV)
","PER","Approve",17/9/2012 00:00:00,"Q22","Advertisements","OR","Ordsall","398701","383578","M7TJGZNP06300"
"12/62124/ADV","41-43 Bolton Road Worsley M28 3AY","ADV","Advert Application",31/7/2012 00:00:00,"Display of three internally illuminated fascia signs and one hanging sign","PER","Approve",19/9/2012 00:00:00,"Q22","Advertisements","WN","Walkden North","403241","373600","M80JI5NP5Y000"
"12/62129/ADV","535A-D Liverpool Road Irlam M44 6ZS","ADV","Advert Application",2/8/2012 00:00:00,"Display of four externally illuminated fascia signs","PER","Approve",19/9/2012 00:00:00,"Q22","Advertisements","CD","Cadishead","393674","371763","M848TTNP5Y000"
"12/62160/ADV","23 The Parade Swinton M27 4BH","ADV","Advert Application",10/8/2012 00:00:00,"Display of one internally illuminated fascia sign, one internally illuminated hanging sign and one other sign","PER","Approve",28/9/2012 00:00:00,"Q22","Advertisements","SS","Swinton South","401814","377653","M8H7IRNP5Y000"
"12/62022/ADV","New Tesco Store And Petrol Station Pendleton Way Salford  ","ADV","Advert Application",10/8/2012 00:00:00,"Various illuminated and non-illuminated signs to Tesco store","PER","Approve",5/10/2012 00:00:00,"Q22","Advertisements","LG","Langworthy","399251","380865","M6OE6GNP5Y000"
"12/62184/ADV","Bus Stop Adjacent To  229A Manchester Road Swinton M27 4TT ","ADV","Advert Application",14/8/2012 00:00:00,"Display of one internally illuminated double sided advert hoarding","PER","Approve",1/10/2012 00:00:00,"Q22","Advertisements","SS","Swinton South","401333","378138","M8QGUBNP5Y000"
"12/62172/ADV","Salford Gallery And Museum Crescent Salford M5 4WU ","ADV","Advert Application",15/8/2012 00:00:00,"Display of three vinyl banners and two vinyl signs","WDN","Application Withdrawn",3/10/2012 00:00:00,"Q22","Advertisements","IW","Irwell Riverside","398750","382070","M8KWSVNP5Y000"
"12/62211/ADV","Bus Shelter Bolton Road Salford  ","ADV","Advert Application",17/8/2012 00:00:00,"Display of one internally illuminated double sided advert hoarding","PER","Approve",12/10/2012 00:00:00,"Q22","Advertisements","CL","Claremont","400586","379578","M8W0T9NP5Y000"
"12/62216/ADV","API Holographics Ltd Astor Road Salford M50 1BB","ADV","Advert Application",18/8/2012 00:00:00,"Display of one non illuminated fascia sign Re Sub of 12/61477/ADV","PER","Approve",12/10/2012 00:00:00,"Q22","Advertisements","SW","Weaste  And Seedley","398559","379038","M8XVK0NP5Y000"
"12/62221/ADV","105A Cromwell Road Eccles M30 0GX ","ADV","Advert Application",21/8/2012 00:00:00,"Display of two non illuminated fascia signs","PER","Approve",22/10/2012 00:00:00,"Q22","Advertisements","BA","Barton","398637","376596","M91KTENP5Y000"
"12/62067/ADV","18-19 King Edwards Buildings Bury Old Road Salford M7 4QJ ","ADV","Advert Application",23/8/2012 00:00:00,"Display of one internally illuminated fascia sign","PER","Approve",12/10/2012 00:00:00,"Q22","Advertisements","KR","Kersal","401923","383737","M7AM5GNP5Y000"
"12/62243/ADV","1A Regent Street Eccles M30 0BP","ADV","Advert Application",24/8/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",12/10/2012 00:00:00,"Q22","Advertisements","EC","Eccles","398549","377856","M98ZIGNP5Y000"
"12/62230/ADV","Halifax Plc  92-94 Church Street Eccles M30 0DA","ADV","Advert Application",24/8/2012 00:00:00,"Display of one fascia sign and one hanging sign internally illuminated and one internally illuminated ATM collar sign","PER","Approve",12/10/2012 00:00:00,"Q22","Advertisements","EC","Eccles","398538","377765","M974TINP5Y000"
"12/62255/ADV","38 Chorley Road Swinton M27 5AF","ADV","Advert Application",31/8/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",8/10/2012 00:00:00,"Q22","Advertisements","SS","Swinton South","401422","377926","M9LY53NP5Y000"
"12/62191/ADV","Fairbank House  Comus Street Salford M5 3BQ","ADV","Advert Application",31/8/2012 00:00:00,"Display of one non-illuminated fascia sign","PER","Approve",15/10/2012 00:00:00,"Q22","Advertisements","OR","Ordsall","397885","382080","M8U654NP5Y000"
"12/62290/ADV","554 - 556 Bolton Road Pendlebury Swinton M27 4DL ","ADV","Advert Application",7/9/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",24/10/2012 00:00:00,"Q22","Advertisements","PE","Pendlebury","402201","378342","M9YWTYNP5Y000"
"12/62288/ADV","719 Bolton Road Swinton M27 8FL","ADV","Advert Application",7/9/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",15/10/2012 00:00:00,"Q22","Advertisements","PE","Pendlebury","402611","377971","M9YWTPNP5Y000"
"12/62298/ADV","24 - 24A Church Street Eccles M30 0DF ","ADV","Advert Application",8/9/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",15/10/2012 00:00:00,"Q22","Advertisements","EC","Eccles","398729","377864","MA0RHSNP5Y000"
"12/62292/ADV","Clinton Cards Plc  36-38 The Parade Swinton M27 4BH","ADV","Advert Application",11/9/2012 00:00:00,"Display of one internally illuminated fascia sign","PER","Approve",15/10/2012 00:00:00,"Q22","Advertisements","SS","Swinton South","401768","377680","M9YWUGNP5Y000"
"12/62307/ADV","Lloyds TSB Bank Plc  62 Church Street Eccles M30 0DA","ADV","Advert Application",17/9/2012 00:00:00,"Display of two internally illuminated fascia signs, one internally illuminated hanging sign and two internally illuminated ATM collar signs","PER","Approve",29/10/2012 00:00:00,"Q22","Advertisements","EC","Eccles","398607","377815","MABVJNNP5Y000"
"12/62339/ADV","Lidl 2 Woodrow Way Irlam M44 6NN ","ADV","Advert Application",24/9/2012 00:00:00,"Display of one non-illuminated advertisement hoarding","PER","Approve",12/11/2012 00:00:00,"Q22","Advertisements","CD","Cadishead","393708","371874","MAQOT9NP5Y000"
"12/62310/ADV","575A Liverpool Road Irlam M44 5BE ","ADV","Advert Application",25/9/2012 00:00:00,"Display of two externally illuminated fascia signs","PER","Approve",14/11/2012 00:00:00,"Q22","Advertisements","CD","Cadishead","393513","371635","MABVK0NP5Y000"
"12/62312/ADV","Aras Convenience Super Store  562 Liverpool Road Irlam M44 6ZA","ADV","Advert Application",25/9/2012 00:00:00,"Display of one internally illuminated fascia sign","PER","Approve",14/11/2012 00:00:00,"Q22","Advertisements","CD","Cadishead","393622","371675","MABVK7NP5Y000"
"12/62352/ADV","Broughton Hub  50 Rigby Street Salford M7 4BQ","ADV","Advert Application",26/9/2012 00:00:00,"Display of two non-illuminated fascia signs and three other signs","PER","Approve",14/11/2012 00:00:00,"Q22","Advertisements","BR","Broughton","400936","382950","MAY3HZNP5Y000"
"12/62357/ADV","Natwest  313-315 Bolton Road Salford M6 7LR","ADV","Advert Application",2/10/2012 00:00:00,"Display of one internally illuminated ATM surround sign","PER","Approve",2/11/2012 00:00:00,"Q22","Advertisements","CL","Claremont","400337","379748","MB1SSUNP5Y000"
"12/62355/ADV","Central Reservation On Trafford Road Junction Of Ordsall Lane Salford M5 3AW","ADV","Advert Application",8/10/2012 00:00:00,"Display of one internally illuminated double sided advert hoarding","PER","Approve",9/11/2012 00:00:00,"Q22","Advertisements","OR","Ordsall","396906","381290","MAYIG9NP06300"
"12/62400/ADV","6 Standfield Centre Worsley M28 1FB","ADV","Advert Application",10/10/2012 00:00:00,"Display of one totem pole and two non illuminated signs","PER","Approve",18/12/2012 00:00:00,"Q22","Advertisements","BE","Boothstown And Ellenbrook","400801","372485","MBM65CNP5Y000"
"12/62424/ADV","42 Chorley Road Swinton M27 5AF","ADV","Advert Application",13/10/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",5/12/2012 00:00:00,"Q22","Advertisements","SS","Swinton South","401429","377919","MBTL1ENP5Y000"
"12/62415/ADV","6 King Edwards Buildings Bury Old Road Salford M7 4QJ ","ADV","Advert Application",16/10/2012 00:00:00,"Display of one internally illuminated ATM collar sign","PER","Approve",3/12/2012 00:00:00,"Q22","Advertisements","KR","Kersal","401873","383757","MBRQ5QNP5Y000"
"12/62450/ADV","717 Bolton Road Swinton M27 8FL","ADV","Advert Application",19/10/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",3/12/2012 00:00:00,"Q22","Advertisements","PE","Pendlebury","402605","377973","MC4OTBNP5Y000"
"12/62461/ADV","Newtown Post Office  721 Bolton Road Swinton M27 8FL","ADV","Advert Application",23/10/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",3/12/2012 00:00:00,"Q22","Advertisements","PE","Pendlebury","402619","377976","MCC3HBNP5Y000"
"12/62495/ADV","St Ambrose Barlow RC School   Manchester Road  Swinton Wardley  Lancashire M27 9QL","ADV","Advert Application",1/11/2012 00:00:00,"Display of three non-illuminated external signs","PER","Approve",21/12/2012 00:00:00,"Q22","Advertisements","SN","Swinton North","402723","376316","MCQZLWNP5Y000"
"12/62529/ADV","McDonalds Restaurants Ltd  447 Bolton Road Swinton Pendlebury M27 8BB","ADV","Advert Application",8/11/2012 00:00:00,"Display of 9 internally illuminated signs and 1 other sign","PER","Approve",21/12/2012 00:00:00,"Q22","Advertisements","PE","Pendlebury","401970","378646","MD5SYCNP5Y000"
"12/62536/ADV","Ellesmere Retail Park Bolton Road Worsley M28 3BT ","ADV","Advert Application",12/11/2012 00:00:00,"Display of one internally illuminated fascia sign","PER","Approve",7/1/2013 00:00:00,"Q22","Advertisements","WN","Walkden North","403326","373504","MD7NMDNP5Y000"
"12/62533/ADV","Ellesmere Retail Park Bolton Road Worsley M28 3BT ","ADV","Advert Application",12/11/2012 00:00:00,"Display of one internally illuminated other sign","WDN","Application Withdrawn",5/2/2013 00:00:00,"Q22","Advertisements","WN","Walkden North","403326","373504","MD7NLDNP5Y000"
"12/62534/ADV","Ellesmere Retail Park Bolton Road Worsley M28 3BT ","ADV","Advert Application",12/11/2012 00:00:00,"Display of one internally illuminated other sign","PER","Approve",27/2/2013 00:00:00,"Q22","Advertisements","WN","Walkden North","403326","373504","MD7NLQNP5Y000"
"12/62535/ADV","Ellesmere Retail Park Bolton Road Worsley M28 3BT ","ADV","Advert Application",12/11/2012 00:00:00,"Display of one internally illuminated other sign","PER","Approve",7/1/2013 00:00:00,"Q22","Advertisements","WN","Walkden North","403326","373504","MD7NM2NP5Y000"
"12/62206/ADV","512 Worsley Road Eccles M30 8JT ","ADV","Advert Application",12/11/2012 00:00:00,"Retention of non-illuminated advertisement","PERU","Approve - unconditional",4/1/2013 00:00:00,"Q22","Advertisements","WI","Winton","399697","375253","M8UNKKNP00300"
"12/62526/ADV","Lloyds TSB Bank Plc  14-16 Moorfield Parade Irlam M44 6FY","ADV","Advert Application",12/11/2012 00:00:00,"Display of one internally illuminated fascia sign, two internally illuminated hanging signs and two internally illuminated ATM surround and collar sign","PER","Approve",7/1/2013 00:00:00,"Q22","Advertisements","IR","Irlam","394997","372561","MD5SX5NP5Y000"
"12/62548/ADV","30 Kansas Avenue Salford M50 2GL","ADV","Advert Application",13/11/2012 00:00:00,"Display of one externally illuminated, one internally illuminated, and one non illuminated signs","PER","Approve",7/1/2013 00:00:00,"Q22","Advertisements","OR","Ordsall","397927","380357","MDF2ASNP5Y000"
"12/62599/ADV","David Bentley Works  Nortons Court Trinity Way Salford M3 7NA","ADV","Advert Application",21/11/2012 00:00:00,"Display of one illuminated scaffold mounted advertisement banner","PERU","Approve - unconditional",16/1/2013 00:00:00,"Q22","Advertisements","OR","Ordsall","398995","383545","MDXUDZNP00B00"
"12/62610/ADV","The John Gilbert Worsley Brow Worsley M28 2YA ","ADV","Advert Application",21/11/2012 00:00:00,"Display of one externally illuminated entrance sign","PER","Approve",16/1/2013 00:00:00,"Q22","Advertisements","WO","Worsley","400621","374489","ME707ANP00300"
"12/62585/ADV","Town Chippy  46 Church Street Eccles M30 0DF","ADV","Advert Application",22/11/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",25/1/2013 00:00:00,"Q22","Advertisements","EC","Eccles","398675","377837","MDVQ9KNP5Y000"
"12/62590/ADV","Laura James Hair Studio  536 Liverpool Road Eccles M30 7JA","ADV","Advert Application",22/11/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",18/1/2013 00:00:00,"Q22","Advertisements","WI","Winton","397966","375742","MDVQCXNP5Y000"
"12/62602/ADV","Sterling Security  515 Liverpool Road Eccles M30 7BT","ADV","Advert Application",24/11/2012 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",18/1/2013 00:00:00,"Q22","Advertisements","BA","Barton","397921","375741","MDZFNZNP5Y000"
"12/62594/ADV","Greenlight Television Westwood House  Regent Road Salford M5 4QH","ADV","Advert Application",28/11/2012 00:00:00,"Display of one non illuminated sign","PER","Approve",23/1/2013 00:00:00,"Q22","Advertisements","OR","Ordsall","398010","381384","MDXKY9NP5Y000"
"12/62492/ADV","4 - 5 Union Terrace Bury Old Road Salford M7 4ZH ","ADV","Advert Application",30/11/2012 00:00:00,"Display of one internally illuminated fascia sign, one internally illuminated hanging sign and one internally illuminated other sign","PER","Approve",23/1/2013 00:00:00,"Q22","Advertisements","KR","Kersal","401785","383795","MCQZLENP5Y000"
"12/62614/ADV","Ashworth Building University Of Salford 3 Cockcroft Road Salford M5 4NT ","ADV","Advert Application",5/12/2012 00:00:00,"Display of two non-illuminated totem pole signage","PER","Approve",28/1/2013 00:00:00,"Q22","Advertisements","IW","Irwell Riverside","398920","381926","ME79KKNP06300"
"13/62712/ADV","Multi-storey Car Park Media City Broadway Salford M50 2EQ ","ADV","Advert Application",12/12/2012 00:00:00,"Display of three internally illuminated advertisement hoardings","PER","Approve",6/2/2013 00:00:00,"Q22","Advertisements","OR","Ordsall","397492","380198","MG1YFMNP06300"
"12/62646/ADV","Wm Morrison Supermarkets Plc  49 Swinton Hall Road Swinton M27 4BT","ADV","Advert Application",17/12/2012 00:00:00,"Display of  one totem pole and three fascia signs internally illuminated","PER","Approve",8/2/2013 00:00:00,"Q22","Advertisements","SS","Swinton South","401942","377875","MEWRQNNP5Y000"
"12/62675/ADV","407-409 Liverpool Road Eccles M30 7HB","ADV","Advert Application",19/12/2012 00:00:00,"Display of externally illuminated fascia sign","PER","Approve",11/2/2013 00:00:00,"Q22","Advertisements","BA","Barton","398125","375986","MF9Q99NP5Y000"
"12/62649/ADV","Maud Works  King William Street Salford M50 3UQ","ADV","Advert Application",21/12/2012 00:00:00,"Display of two internally illuminated fascia signs and one internally illuminated other sign","PER","Approve",11/2/2013 00:00:00,"Q22","Advertisements","OR","Ordsall","397518","381320","MEWRRXNP5Y000"
"12/62689/ADV","Swinton Angling Centre  57 Worsley Road Swinton M27 5NE","ADV","Advert Application",21/12/2012 00:00:00,"Erection of a 48 sheet advertisment hoarding on gable elevation","REF","Refuse",15/2/2013 00:00:00,"Q22","Advertisements","SS","Swinton South","401236","377787","MFDFL0NP5Y000"
"13/62723/ADV","1-2 Dakota Avenue Salford M50 2PU ","ADV","Advert Application",7/1/2013 00:00:00,"Display of 6 non-illuminated advertisments","PER","Approve",18/2/2013 00:00:00,"Q22","Advertisements","OR","Ordsall","397891","380481","MG9H68NP00300"
"13/62743/ADV","Lloyds TSB Bank Plc  41-43 Bolton Road Worsley M28 3AY","ADV","Advert Application",11/1/2013 00:00:00,"Display of two fascia,  two projecting signs  internally illuminated and an internally  illuminated ATM surround and collar sign","PER","Approve",8/3/2013 00:00:00,"Q22","Advertisements","WN","Walkden North","403241","373600","MGGBL2NP5Y000"
"13/62732/ADV","111 Chaddock Lane Worsley M28 1DH ","ADV","Advert Application",24/1/2013 00:00:00,"Retrospective planning application for the display of seven non illuminated signs and one externally illuminated sign","PER","Approve",8/3/2013 00:00:00,"Q22","Advertisements","BE","Boothstown And Ellenbrook","400899","371769","MGD2MLNP00300"
"13/62793/ADV","Lloyds TSB Bank Plc  10-12 Hankinson Way Salford M6 5JA","ADV","Advert Application",28/1/2013 00:00:00,"Display of 2 No. internally illuminated fascia signs, 2 No. hanging signs and 2 No. internally illuminated ATM surrounds","PER","Approve",11/3/2013 00:00:00,"Q22","Advertisements","LG","Langworthy","399196","381084","MH68XFNP5Y000"
"13/62794/ADV","Lloyds TSB Bank Plc  129-133 Chorley Road Swinton M27 4AE","ADV","Advert Application",28/1/2013 00:00:00,"Display of 3 No. internally illuminated fascia signs, 1 No. hanging sign and 2 No. internally illuminated ATM surrounds","PER","Approve",11/3/2013 00:00:00,"Q22","Advertisements","SS","Swinton South","401684","377687","MH68Z4NP5Y000"
"13/62825/ADV","Maxwell Hall University Of Salford Crescent Salford  ","ADV","Advert Application",2/2/2013 00:00:00,"Display of one PVC banner","PER","Approve",27/3/2013 00:00:00,"Q22","Advertisements","IW","Irwell Riverside","398698","382101","MHL2ABNP5Y000"
"13/62826/ADV","Allerton Building And Theatre University Of Salford Frederick Road Salford  ","ADV","Advert Application",2/2/2013 00:00:00,"Display of one PVC banner","PER","Approve",27/3/2013 00:00:00,"Q22","Advertisements","IW","Irwell Riverside","399127","381616","MHL2AQNP5Y000"
"13/62833/ADV","25 Chorley Road Swinton M27 4AF","ADV","Advert Application",5/2/2013 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",27/3/2013 00:00:00,"Q22","Advertisements","SS","Swinton South","401386","378008","MHQM95NP5Y000"
"13/62802/ADV","598 Bolton Road Swinton M27 4ET","ADV","Advert Application",7/2/2013 00:00:00,"Display of one non-illuminated fascia sign","PER","Approve",27/3/2013 00:00:00,"Q22","Advertisements","PE","Pendlebury","402333","378193","MHDNL7NP5Y000"
"13/62837/ADV","The Bijou Club 1 - 7 Chapel Street Salford M3 7NJ ","ADV","Advert Application",7/2/2013 00:00:00,"Display of two pvc fascia signs","PER","Approve",17/4/2013 00:00:00,"Q22","Advertisements","OR","Ordsall","398806","383788","MHQXDANP00B00"
"13/62824/ADV","Salford Football Club Co (1914) Ltd, Salford City Stadium  1 Stadium Way Eccles M30 7EY","ADV","Advert Application",12/2/2013 00:00:00,"Display of five internally illuminated display signs","PER","Approve",8/4/2013 00:00:00,"Q22","Advertisements","IR","Irlam","396996","375068","MHL29XNP5Y000"
"13/62891/ADV","13 Bolton Road Worsley M28 3AX","ADV","Advert Application",15/2/2013 00:00:00,"Display of one externally illuminated sign","PER","Approve",12/4/2013 00:00:00,"Q22","Advertisements","WN","Walkden North","403137","373630","MI94Z8NP5Y000"
"13/62780/ADV","Advertising Right 0713 01 Adjacent 411 Bury New Road Salford  ","ADV","Advert Application",22/2/2013 00:00:00,"Retrospective planning application for the retention of two internally illuminated freestanding light box display units","REF","Refuse",19/4/2013 00:00:00,"Q22","Advertisements","BR","Broughton","401169","382755","MH2JQ4NP5Y000"
"13/62950/ADV","Blackfriar Inn 13 King Street Blackfriars Salford M3 7HH ","ADV","Advert Application",25/2/2013 00:00:00,"Display of one externally illuminated hoarding","PER","Approve",10/5/2013 00:00:00,"Q22","Advertisements","OR","Ordsall","398897","383277","MIXKSQNP00B00"
"13/62971/ADV","Unit 150 To 151 Ellesmere Shopping Centre Bolton Road Worsley M28 3ZH ","ADV","Advert Application",5/3/2013 00:00:00,"Display of one internally illuminated fascia sign and one projecting sign","PER","Approve",30/4/2013 00:00:00,"Q22","Advertisements","WN","Walkden North","403238","373470","MJ0WXTNP5Y000"
"13/62949/ADV","200 Metroplex Business Park Broadway Salford M50 2UW ","ADV","Advert Application",6/3/2013 00:00:00,"Installation of three flag poles to display three advertising flags","PER","Approve",1/5/2013 00:00:00,"Q22","Advertisements","SW","Weaste  And Seedley","397557","379982","MIX7MYNP5Y000"
"13/62999/ADV","127 Gerald Road Salford M6 6BL","ADV","Advert Application",11/3/2013 00:00:00,"Display of two fascia signs and one externally illuminated other sign","PER","Approve",8/5/2013 00:00:00,"Q22","Advertisements","IW","Irwell Riverside","400079","381785","MJDVLHNP5Y000"
"13/63012/ADV","Swinton Angling Centre  57 Worsley Road Swinton M27 5NE","ADV","Advert Application",12/3/2013 00:00:00,"Display of 2 internally illuminated fascia signs, 3 vinyl signs to existing windows and 2 vinyl signs on existing shutter boxes","SPLIT","Split decision",7/5/2013 00:00:00,"Q22","Advertisements","SS","Swinton South","401236","377787","MJJFLZNP5Y000"
"13/63045/ADV","Halifax 93 - 94 Sutton Way Salford M6 5HS ","ADV","Advert Application",14/3/2013 00:00:00,"Display of one internally illuminated fascia sign and one projecting sign, two ATM headers and one other sign","PER","Approve",8/5/2013 00:00:00,"Q22","Advertisements","LG","Langworthy","399200","380992","MJWLNPNP06300"
"13/62863/ADV","1 - 12 Concord Place Salford M6 6SJ","ADV","Advert Application",15/3/2013 00:00:00,"Display of three non-illuminated fascia signs","PER","Approve",8/5/2013 00:00:00,"Q22","Advertisements","IW","Irwell Riverside","400174","381305","MHY0YDNP5Y000"
"12/62615/ADV","358 Worsley Road Swinton M27 0FH ","ADV","Advert Application",18/3/2013 00:00:00,"Display of two fascia signs and one hanging sign non illuminated","PER","Approve",8/5/2013 00:00:00,"Q22","Advertisements","WO","Worsley","400801","376440","ME7AIPNP00B00"
"13/62970/ADV","Ellesmere Retail Park Bolton Road Worsley M28 3BT","ADV","Advert Application",18/3/2013 00:00:00,"Display of one free-standing, internally illuminated advertisement","PER","Approve",13/5/2013 00:00:00,"Q22","Advertisements","WN","Walkden North","403326","373504","MJ0WXLNP5Y000"
"13/62919/ADV","Chiquittos  3 Capital Quay Salford M50 3WL","ADV","Advert Application",20/3/2013 00:00:00,"Display of banner screen and one umbrella","PER","Approve",15/5/2013 00:00:00,"Q22","Advertisements","OR","Ordsall","397118","381299","MIM3NANP5Y000"
"13/63116/ADV","726 Bolton Road Swinton M27 6EW","ADV","Advert Application",5/4/2013 00:00:00,"Display of one externally illuminated fascia sign","PER","Approve",24/5/2013 00:00:00,"Q22","Advertisements","SN","Swinton North","402631","377929","MKPY93NP5Y000"
"13/63139/ADV","United Carpets, Unit 2  Armitage Avenue Little Hulton M38 0EA","ADV","Advert Application",11/4/2013 00:00:00,"Display of one fascia sign and two other signs internally illuminated and eight non illuminated signs","PER","Approve",6/6/2013 00:00:00,"Q22","Advertisements","LH","Little Hulton","403848","371899","ML12OHNP5Y000"
