Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Hospitality + Trading Services,I T Provision,09.04.2013,5100628955,"£1,229.41",Fretwell Downing Hospitality
Manchester City Council,Chief Executives,ICT Sup & Maintnance,09.04.2013,5100628416,"£10,099.78",Open Text Ltd
Manchester City Council,Environment and Operations,Compensation Payments,09.04.2013,5100629301,£690.00,Redacted Personal Information
Manchester City Council,Adult Social Care,Compensation Payments,09.04.2013,1903596057,"£7,000.00",Thompsons Solicitors
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,09.04.2013,5100628873,"£1,216.63",Marketing Manchester
Manchester City Council,Specialist Trading Standards,Grant and subscriptions awarded,09.04.2013,5100629306,"£10,000.00",Sefton Council Technical Services
Manchester City Council,Chief Executives,Advertising,09.04.2013,5100629091,£650.00,Best Asian Media Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,09.04.2013,5100628787,£627.44,Arco Group Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,09.04.2013,5100629367,"£1,676.50",Asd Metal Services
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629262,"£1,800.00",W S Education
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629260,"£1,550.00",W S Education
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629257,"£1,200.00",W S Education
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629095,"£1,500.00",Moss Side Millennium Powerhouse Ltd
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629089,"£2,997.60",Zion Arts Centre Ltd
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629265,"£2,000.00",Wythenshawe Forum Trust Ltd
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629092,£500.00,Whitemoss Club For Young People
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629094,£500.00,Higher Blackley Comm.Assoc.
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629319,"£1,950.00",Sport 4 Life Ltd
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629323,"£1,750.00",Sport 4 Life Ltd
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629150,"£2,070.00",Institute Of Swimming - I.O.S.
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100628981,"£1,800.00",NJ Coaching
Manchester City Council,Manchester Leisure,Payments for services,09.04.2013,5100629246,"£3,000.00",City in the Community
Manchester City Council,Childrens Services,Payments for services,09.04.2013,5100629135,"£9,950.38",The Together Trust
Manchester City Council,Childrens Services,Payments for services,09.04.2013,5100629127,"£7,462.79",The Together Trust
Manchester City Council,Childrens Services,Payments for services,09.04.2013,5100629137,£687.00,Lighthouse Childcare Centre
Manchester City Council,Childrens Services,Payments for services,09.04.2013,5100629109,"£1,925.00",Pennine Care In Patient Services
Manchester City Council,Environment and Operations,AGMA Contributions,09.04.2013,5100629087,£909.09,Animal Wardens Ltd
Manchester City Council,Environment and Operations,AGMA Contributions,09.04.2013,5100629255,£909.09,Animal Wardens Ltd
Manchester City Council,Environment and Operations,AGMA Contributions,09.04.2013,5100629252,-£909.09,Animal Wardens Ltd
Manchester City Council,Childrens Services,Supporting People Payments,09.04.2013,5100629101,"£3,691.61",Greater Manchester Youth
Manchester City Council,Childrens Services,Supporting People Payments,09.04.2013,5100629105,"£2,125.00",Greater Manchester Youth
Manchester City Council,Childrens Services,Supporting People Payments,09.04.2013,5100629102,"£2,082.25",Greater Manchester Youth
Manchester City Council,Regeneration Finance,Home Care ,09.04.2013,5100629114,"£1,952.00",Dribble Drabble Nursery
Manchester City Council,Childrens Services,Supported Accommodation,09.04.2013,5100629028,£500.00,Bedspace Resource Ltd
Manchester City Council,Adult Social Care,Personal needs of client,09.04.2013,5100627984,"£1,341.00",Lisclare
Manchester City Council,Adult Social Care,Personal needs of client,09.04.2013,5100628017,"£1,164.60",Lisclare
Manchester City Council,Adult Social Care,Personal needs of client,09.04.2013,5100628994,£563.00,Chiltern Invadex Ltd
Manchester City Council,Childrens Services,PNOR-Other Amenities,09.04.2013,1903595701,"£1,237.50",Barnardos Manchester Leaving Care S
Manchester City Council,Childrens Services,Childrens Allowances,09.04.2013,1903595701,£675.00,Barnardos Manchester Leaving Care S
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.04.2013,5100629060,"£1,734.70",Edmundson Electrical Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.04.2013,5100629057,£501.01,Edmundson Electrical Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.04.2013,5100629080,"£3,897.82",Pts Plumbing Trade Supplies
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.04.2013,5100629136,"£1,714.72",Pts Plumbing Trade Supplies
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.04.2013,5100629064,"£1,689.80",JTC Furniture Group
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,09.04.2013,5100629254,"£2,945.00",URS Infrastructure & Environment
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,09.04.2013,5100629228,"£6,845.00",Addleshaw Goddard Solicitors
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,09.04.2013,5100629322,"£5,040.00",Mace Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,09.04.2013,5100629103,£940.00,National Museums Liverpool
Manchester City Council,Environment and Operations,Construction Works,09.04.2013,5100629171,"£9,310.00",Utilities Design & Planning Ltd
Manchester City Council,Manchester Leisure,Fees,10.04.2013,5100629389,"£1,023.98",Serco Manchester (Manchester Commun
Manchester City Council,Corporate Services,Agency staff provision,10.04.2013,5100629564,"£1,000.30",Morson International
Manchester City Council,Chief Executives,Agency staff provision,10.04.2013,5100629651,£719.00,Deekay Technical Recruitment Ltd
Manchester City Council,Chief Executives,Agency staff provision,10.04.2013,5100629651,£687.40,Deekay Technical Recruitment Ltd
Manchester City Council,Chief Executives,Agency staff provision,10.04.2013,5100629651,£515.90,Deekay Technical Recruitment Ltd
Manchester City Council,Chief Executives,Agency staff provision,10.04.2013,5100629305,£911.16,Ashberry Recruitment Ltd
Manchester City Council,Chief Executives,Agency staff provision,10.04.2013,5100629304,£644.39,Ashberry Recruitment Ltd
Manchester City Council,Chief Executives,Agency staff provision,10.04.2013,5100629300,£528.39,Ashberry Recruitment Ltd
Manchester City Council,Adult Social Care,Training and Development,10.04.2013,5100629384,£530.00,University Of Manchester
Manchester City Council,Adult Social Care,Training and Development,10.04.2013,5100629386,£530.00,University Of Manchester
Manchester City Council,Adult Social Care,Training and Development,10.04.2013,5100629410,£530.00,University Of Manchester
Manchester City Council,Childrens Services,Training and Development,10.04.2013,5100628433,"£1,794.50",Manchester City Football Club Plc
Manchester City Council,Childrens Services,Training and Development,10.04.2013,5100629388,"-£1,794.50",Manchester City Football Club Plc
Manchester City Council,Corporate Services,External repairs and maintenance for buildings,10.04.2013,5100629461,£646.12,Graham Asset Management Ltd
Manchester City Council,Manchester Leisure,Rents,10.04.2013,5100629551,£650.00,Moss Side Millennium Powerhouse Ltd
Manchester City Council,Hospitality + Trading Services,Refuse Collection,10.04.2013,5100629623,£596.40,Hadfield Wood Recyclers
Manchester City Council,Hospitality + Trading Services,Security,10.04.2013,5100628555,"£358,242.61",Group 4 Total Security Ltd T/A G4S
Manchester City Council,Regeneration Finance,Hire of Premises,10.04.2013,5100629370,£575.00,Liverpool City Council
Manchester City Council,Regeneration Finance,Hire of Premises,10.04.2013,5100629429,£575.00,Liverpool City Council
Manchester City Council,Regeneration Finance,Hire of Premises,10.04.2013,5100629422,-£575.00,Liverpool City Council
Manchester City Council,Hospitality + Trading Services,Transport Coach Hire,10.04.2013,5100629657,"£1,980.00",B Curbishley Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,10.04.2013,5100627965,"£1,397.50",Connect Cars Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,10.04.2013,5100627968,"£1,251.90",Connect Cars Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,10.04.2013,5100627976,"£1,200.00",Connect Cars Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,10.04.2013,5100627964,"-£1,251.00",Connect Cars Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,10.04.2013,5100627963,"-£1,397.00",Connect Cars Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,10.04.2013,5100629671,£960.00,B Curbishley Ltd
Manchester City Council,Childrens Services,Transport Coach Hire,10.04.2013,5100629574,"£2,760.00",Redacted Personal Information
Manchester City Council,Hospitality + Trading Services,Equipment,10.04.2013,5100629442,"£4,415.00",Victor Manufacturing Ltd
Manchester City Council,Hospitality + Trading Services,Equipment,10.04.2013,5100629446,"£3,340.00",Victor Manufacturing Ltd
Manchester City Council,Hospitality + Trading Services,Equipment,10.04.2013,5100629444,"£3,225.00",Victor Manufacturing Ltd
Manchester City Council,Hospitality + Trading Services,Equipment,10.04.2013,5100629445,"£2,785.00",Victor Manufacturing Ltd
Manchester City Council,Environment and Operations,Equipment,10.04.2013,5100629395,£900.00,Staffordshire County Council
Manchester City Council,Adult Social Care,Equipment,10.04.2013,5100629560,"£2,598.88",Aidapt Bathrooms Ltd
Manchester City Council,Regeneration Finance,Equipment,10.04.2013,5100629592,£610.00,Mono Alarms Installations Ltd
Manchester City Council,Childrens Services,Furniture,10.04.2013,5100629581,£611.21,The Furnishing Service Ltd
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",10.04.2013,5100629577,£630.80,The Furnishing Service Ltd
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,10.04.2013,5100629644,£525.40,Aggregate Industries T/A Kennedy As
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,10.04.2013,5100629643,£518.44,Aggregate Industries T/A Kennedy As
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,10.04.2013,5100628225,"£71,085.04",Glendale Managed Services
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,10.04.2013,5100629376,"£4,188.13",One Stop Hire Limited
Manchester City Council,Chief Executives,Hire of Equipment,10.04.2013,5100629401,"£2,411.28",Stanley Security Solutions
Manchester City Council,Manchester Leisure,Variation Orders,10.04.2013,1903600697,£644.00,Pumpandgrind
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.04.2013,5100629440,"£1,690.46",H N Nuttall Ltd
Manchester City Council,Chief Executives,Printing,10.04.2013,5100629646,£569.00,Wallace Printers Ltd
Manchester City Council,Chief Executives,Printing,10.04.2013,5100629647,£551.00,Wallace Printers Ltd
Manchester City Council,Chief Executives,Printing,10.04.2013,5100629635,"£1,077.00",Chapel Press Ltd
Manchester City Council,Chief Executives,Printing,10.04.2013,5100629633,£614.00,Chapel Press Ltd
Manchester City Council,Chief Executives,Printing,10.04.2013,5100629544,"£3,025.00",Hudson & Pearson
Manchester City Council,Chief Executives,Paper & Envelopes,10.04.2013,5100629606,£683.00,Premier Paper Group Ltd
Manchester City Council,Libraries and Theatres,Proffesional Fees,10.04.2013,5100629594,"£2,451.75",Manchester Care & Repair Ltd
Manchester City Council,Hospitality + Trading Services,Proffesional Fees,10.04.2013,5100629381,£587.50,Marketing Manchester
Manchester City Council,Hospitality + Trading Services,Proffesional Fees,10.04.2013,5100629392,£502.06,Marketing Manchester
Manchester City Council,Adult Social Care,Proffesional fees,10.04.2013,5100629411,"£7,500.00",Manchester Mental Health & Social C
Manchester City Council,Adult Social Care,Proffesional fees,10.04.2013,5100629415,"-£7,500.00",Manchester Mental Health & Social C
Manchester City Council,Childrens Services,Proffesional Fees,10.04.2013,5100629425,£680.00,GVA Grimley Ltd
Manchester City Council,Corporate Services,Proffesional fees,10.04.2013,5100628356,"£12,858.81",Atkins Limited
Manchester City Council,Corporate Services,Proffesional Fees,10.04.2013,5100627941,£903.50,Experian Limited
Manchester City Council,Corporate Services,Proffesional Fees,10.04.2013,5100629626,"£3,952.00",Airborne Environmental Consultants
Manchester City Council,Chief Executives,Proffesional fees,10.04.2013,1903603422,"£1,128.12",Redacted Personal Information
Manchester City Council,Chief Executives,Proffesional fees,10.04.2013,1903609666,"£3,772.00",Eurocities
Manchester City Council,Environment and Operations,Testing Fees,10.04.2013,5100629491,£540.00,Staffordshire County Council
Manchester City Council,Corporate Services,Fees,10.04.2013,5100627901,"£1,950.00",Pannone & Partners Solicitors
Manchester City Council,Corporate Services,Landline Telephone,10.04.2013,1903603259,£677.13,Cable & Wireless UK
Manchester City Council,Manchester Leisure,I T Provision,10.04.2013,5100628881,"£1,441.00",GBM Digital Technologies Ltd
Manchester City Council,Manchester Leisure,I T Provision,10.04.2013,5100629432,"£1,441.00",GBM Digital Technologies Ltd
Manchester City Council,Manchester Leisure,I T Provision,10.04.2013,5100629421,"-£1,441.00",GBM Digital Technologies Ltd
Manchester City Council,Environment and Operations,Compensation Payments,10.04.2013,5100629617,£535.00,Redacted Personal Information
Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,10.04.2013,5100629622,"£3,850.00",The Lowry Hotel
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,10.04.2013,5100629370,£704.16,Liverpool City Council
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,10.04.2013,5100629429,£704.16,Liverpool City Council
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,10.04.2013,5100629422,-£704.16,Liverpool City Council
Manchester City Council,Environment and Operations,Grant and subscriptions awarded,10.04.2013,5100629666,"£4,910.00",Greater Manchester Youth
Manchester City Council,Childrens Services,Grant and subscriptions awarded,10.04.2013,5100629549,"£1,666.66",LGBT Youth North West
Manchester City Council,Adult Social Care,Funeral and coroner related services,10.04.2013,5100629601,"£1,007.00",Funeral Prtnrs t/a Michael Kennedy
Manchester City Council,Adult Social Care,Funeral and coroner related services,10.04.2013,5100629603,"£1,007.00",Funeral Prtnrs t/a Michael Kennedy
Manchester City Council,Adult Social Care,Funeral and coroner related services,10.04.2013,5100629604,£950.00,Funeral Prtnrs t/a Michael Kennedy
Manchester City Council,Adult Social Care,Renoval and Storage of Furniture,10.04.2013,5100629570,"£4,500.00",The Furnishing Service Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,10.04.2013,5100629438,"£3,030.40",Instarmac Group Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,10.04.2013,5100629436,£728.00,Instarmac Group Ltd
Manchester City Council,Hospitality + Trading Services,Purchase of stores for re-distribution,10.04.2013,5100628781,£732.01,Buildbase Ltd aka Axon Buildbase
Manchester City Council,Regeneration Finance,Third party payments relating to Voluntary Organisations,10.04.2013,5100629654,"£1,746.00",Wai Yin Chinese Women Society
Manchester City Council,Regeneration Finance,Third party payments relating to Voluntary Organisations,10.04.2013,5100629639,£684.00,GAYDIO Community Interest Company
Manchester City Council,Manchester Leisure,Payments for services,10.04.2013,5100629407,"£2,643.10",Serco Manchester (Manchester Commun
Manchester City Council,Manchester Leisure,Payments for services,10.04.2013,5100629409,"£2,042.10",Serco Manchester (Manchester Commun
Manchester City Council,Manchester Leisure,Payments for services,10.04.2013,5100629543,"£3,000.00",4CT Limited
Manchester City Council,Manchester Leisure,Expenditure re Internal Trading Ordered Externally,10.04.2013,5100629346,£587.50,Piccadilly Live Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.04.2013,5100629641,"£12,428.50",Capita IT Services (BSF) Limited
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.04.2013,5100629645,"£4,364.71",Capita IT Services (BSF) Limited
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.04.2013,5100629649,"£2,656.44",Capita IT Services (BSF) Limited
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.04.2013,5100629650,"£2,641.95",Capita IT Services (BSF) Limited
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.04.2013,5100629653,"£1,174.20",Capita IT Services (BSF) Limited
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.04.2013,5100629655,£603.75,Capita IT Services (BSF) Limited
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,10.04.2013,5100629412,"£1,432.22",Harry Fairclough Construction Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.04.2013,5100629630,"£4,470.00",Digitech AV Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.04.2013,5100629631,£962.00,Digitech AV Ltd
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.04.2013,5100629632,£878.00,Digitech AV Ltd
Manchester City Council,Corporate Services,Surplus property Acquisitions,10.04.2013,5100629669,"£10,000.00",GVA Grimley Ltd
Manchester City Council,Corporate Services,Surplus property Acquisitions,10.04.2013,5100629672,"£10,000.00",GVA Grimley Ltd
Manchester City Council,Corporate Services,Surplus property Acquisitions,10.04.2013,5100629667,"£8,000.00",GVA Grimley Ltd
Manchester City Council,Adult Social Care,Agency staff provision,11.04.2013,5100628337,£915.60,Randstad Care
Manchester City Council,Childrens Services,Compensation,11.04.2013,1903610857,£750.00,Redacted Personal Information
Manchester City Council,Environment and Operations,Training and Development,11.04.2013,5100629721,"£6,700.00",The Safer Luton Partnership
Manchester City Council,Insurance Fund,Insurance,11.04.2013,5100629746,"£1,025.00",Redacted Personal Information
Manchester City Council,Childrens Services,Training and Development,11.04.2013,5100629391,"£1,794.50",Manchester City Football Club Plc
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,11.04.2013,5100629798,£710.00,Keebuilders Uk Ltd
Manchester City Council,Manchester Leisure,Gas,11.04.2013,1903610824,"£1,193.18",Total Gas & Power
Manchester City Council,Environment and Operations,Electricity,11.04.2013,1903610455,"£266,013.55",Haven Power Ltd
Manchester City Council,Environment and Operations,Electricity,11.04.2013,1903610457,"£1,517.31",Haven Power Ltd
Manchester City Council,Childrens Services,Heating Oil,11.04.2013,1903610825,"£1,982.70",Emo Oil Ltd
Manchester City Council,Manchester Leisure,Rents,11.04.2013,5100629726,"£1,062.30",Manchester Sports & Leisure Trust
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610626,"£6,578.76",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610643,"£6,578.76",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610631,"£6,578.76",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610735,"£2,959.10",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610602,"£2,959.10",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610501,"£2,195.20",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610469,"£1,734.13",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610497,"£1,461.83",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610808,"£1,414.58",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610531,"£1,414.58",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610771,"£1,414.58",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610812,"£1,414.58",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610673,"£1,414.58",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610656,"£1,414.58",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610485,"£1,319.31",United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610489,£750.62,United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610710,£625.16,United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610674,£556.49,United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1903610483,£528.90,United Utilities Water Plc
Manchester City Council,Manchester Leisure,Water - Metered,11.04.2013,1700034713,-£595.01,United Utilities Water Plc
Manchester City Council,Libraries and Theatres,Water - Metered,11.04.2013,1903610657,"£49,339.70",United Utilities Water Plc
Manchester City Council,Libraries and Theatres,Water - Metered,11.04.2013,1903610711,"£1,414.58",United Utilities Water Plc
Manchester City Council,Libraries and Theatres,Water - Metered,11.04.2013,1903610672,"£1,414.58",United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610598,"£74,211.76",United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610603,"£6,578.76",United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610730,"£2,959.10",United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610615,"£1,414.58",United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610727,"£1,414.58",United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610801,"£1,414.58",United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610494,"£1,274.51",United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610685,£625.16,United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610660,£625.16,United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Water - Metered,11.04.2013,1903610667,£625.16,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610486,"£2,574.56",United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610682,"£1,414.58",United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610678,"£1,402.44",United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610595,"£1,371.02",United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610627,£979.46,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610614,£979.46,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610817,£960.13,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610645,£887.62,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610518,£887.62,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610530,£778.85,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610639,£745.01,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610625,£653.17,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610624,£653.17,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610811,£653.17,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610630,£653.17,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610534,£648.33,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610669,£625.16,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610516,£612.07,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610654,£602.41,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610653,£602.41,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610529,£599.99,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610769,£599.99,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610604,£573.41,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610599,£563.73,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610646,£549.24,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610648,£549.24,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610600,£541.98,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610650,£539.56,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610628,£539.56,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610772,£529.90,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610644,£520.23,United Utilities Water Plc
Manchester City Council,Adult Social Care,Water - Metered,11.04.2013,1903610597,£500.90,United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610821,"£6,578.76",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610810,"£6,578.76",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610807,"£6,578.76",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610823,"£3,297.99",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610629,"£2,959.10",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610666,"£2,959.10",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610754,"£2,959.10",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610671,"£2,959.10",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610670,"£2,186.84",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610512,"£1,622.81",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610714,"£1,414.58",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610752,"£1,414.58",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610766,"£1,414.58",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610675,"£1,414.58",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610729,"£1,414.58",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610679,"£1,414.58",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610668,"£1,414.58",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610677,"£1,414.58",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610687,"£1,414.58",United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610533,£899.70,United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610794,£625.16,United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610741,£625.16,United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610663,£625.16,United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610664,£625.16,United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610680,£625.16,United Utilities Water Plc
Manchester City Council,Childrens Services,Water - Metered,11.04.2013,1903610658,£625.16,United Utilities Water Plc
